Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
3/4/2021,, SIN DATOS, DESPISTE, LEVE, SÁBADO, 9, MALDONADO, SIN DATOS, 1, 693970, 6164415 
27/7/2021,, AVENIDA URUGUAY --SOLYMAR--, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, CANELONES, SOLYMAR, 1, 594710, 6145165 
21/9/2021,, RUTA NACIONAL OCHO, DESPISTE, LEVE, MARTES, 9, CANELONES, BARROS BLANCOS, 1, 589205, 6152000 
21/9/2021,, DOCTOR MORQUIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, SALTO, SALTO, 1, 409415, 6525910 
7/4/2021,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 1, 568745, 6140705 
14/4/2021,, SIN DATOS, CAÍDA, LEVE, MIÉRCOLES, 13, COLONIA, COLONIA VALDENSE, 1, 475080, 6200670 
20/6/2021,, AVENIDA EDUARDO VICTOR HAEDO (RUTA 10), COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 17, MALDONADO, LA BARRA, 1, 695225, 6134385 
14/4/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 11, CANELONES, COLONIA NICOLICH, 1, 589635, 6146765 
19/5/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, CANELONES, NEPTUNIA, 1, 603900, 6150935 
10/7/2021,, CAMINO AL PASO ESCOBAR, CAÍDA, LEVE, SÁBADO, 8, CANELONES, SAN JOSE DE CARRASCO, 1, 590480, 6145085 
25/8/2021,, AVENIDA APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 0, TREINTA Y TRES, TREINTA Y TRES, 1, 744210, 6320310 
29/9/2021,, AMBROSIO VELAZCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 1, 580470, 6138515 
20/4/2021,, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 20, MALDONADO, SIN DATOS, 1, 701730, 6149490 
