Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
22/12/2021,, LIBERTADOR JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 15, MALDONADO, SAN CARLOS, 1, 691280, 6148820 
15/12/2021,, SIMON BOLIVAR, CAÍDA, LEVE, MIÉRCOLES, 1, MONTEVIDEO, MONTEVIDEO, 1, 576830, 6137380 
3/11/2021,, LUIS LASAGNA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, MONTEVIDEO, MONTEVIDEO, 1, 568780, 6149015 
15/11/2021,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 14, SAN JOSE, LIBERTAD, 1, 535245, 6167675 
23/11/2021,, AVENIDA OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 1, 579120, 6141355 
19/12/2021,, LIBERTAD, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 11, PAYSANDU, PAYSANDU, 1, 397075, 6422845 
30/12/2021,, RUTA 15 KM160.700, DESPISTE, LEVE, JUEVES, 11, ROCHA, SIN DATOS, 1, 786235, 6285985 
9/2/2022,, SIN DATOS, DESPISTE, LEVE, MIÉRCOLES, 1, FLORIDA, SIN DATOS, 1, 563970, 6261750 
10/12/2021,, RINCON, DESPISTE, SIN LESIONADOS, VIERNES, 10, MALDONADO, MALDONADO, 1, 686795, 6135830 
11/10/2021,, AVENIDA DE LAS AMERICAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, PAYSANDU, CHACRAS DE PAYSANDU, 1, 402305, 6428250 
29/10/2021,, SIN DATOS, DESPISTE, LEVE, VIERNES, 7, ARTIGAS, SIN DATOS, 1, 513240, 6629880 
25/11/2021,, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, CANELONES, PROGRESO, 1, 571590, 6163630 
28/11/2021,, GENERAL JOSE G. ARTIGAS, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 23, ROCHA, CHUY, 1, 828475, 6265530 
24/12/2021,, ZELMAR MICHELINI, CAÍDA, LEVE, VIERNES, 13, SALTO, SALTO, 1, 409090, 6525580 
27/12/2021,, HERACLIO FAJARDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, MALDONADO, SAN CARLOS, 1, 689965, 6147595 
13/1/2022,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, MONTEVIDEO, MONTEVIDEO, 1, 572605, 6144870 
10/11/2021,, GENERAL TIMOTEO APARICIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 1, 579895, 6141720 
1/10/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 11, ARTIGAS, PORT. DE HIERRO Y CAMPODONICO, 1, 443530, 6650945 
20/11/2021,, GUARANI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, SALTO, SALTO, 1, 410655, 6527775 
25/12/2021,, G. LEZAETA, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 23, FLORIDA, FLORIDA, 1, 572080, 6227800 
8/12/2021,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 1, 575105, 6142625 
10/12/2021,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, PAYSANDU, NUEVO PAYSANDU, 1, 399830, 6427880 
22/12/2021,, VIA_PUBLICA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 17, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 554630, 6153385 
25/11/2021,, ENTRE RIOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, PAYSANDU, PAYSANDU, 1, 396915, 6423525 
13/11/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, SÁBADO, 10, COLONIA, SIN DATOS, 1, 442050, 6236980 
16/11/2021,, CAMINO MALDONADO, CAÍDA, LEVE, MARTES, 8, MONTEVIDEO, MONTEVIDEO, 1, 579930, 6143715 
11/12/2021,, CAMINO LA FERIA, DESPISTE, SIN LESIONADOS, SÁBADO, 20, RIO NEGRO, SIN DATOS, 1, 376420, 6330260 
2/2/2022,, E. INZAURRAGA, CAÍDA, LEVE, MIÉRCOLES, 1, MALDONADO, PUNTA DEL ESTE, 1, 687965, 6129785 
4/12/2021,, ISLAS CANARIAS, DESPISTE, LEVE, SÁBADO, 16, MALDONADO, SAN CARLOS, 1, 689860, 6150255 
29/12/2021,, GREGORIO SANABRIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, MALDONADO, PIRIAPOLIS, 1, 657700, 6140340 
19/1/2022,, VIA_PUBLICA, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 20, CANELONES, SALINAS, 1, 605880, 6152495 
25/1/2022,, GENERAL LAS HERAS Y ROQUE SAENZ PEÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, CANELONES, SAN JOSE DE CARRASCO, 1, 592040, 6143805 
24/10/2021,, TIMBO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 6, RIO NEGRO, YOUNG, 1, 440315, 6380720 
27/10/2021,, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 17, TACUAREMBO, TACUAREMBO, 1, 596210, 6490920 
1/2/2022,, JOSE DODERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, MALDONADO, MALDONADO, 1, 686405, 6134735 
10/12/2021,, RAMBLA LORENZO BATLLE PACHECO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, MALDONADO, PUNTA DEL ESTE, 1, 688245, 6129620 
2/1/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, DOMINGO, 20, SALTO, SALTO, 1, 415875, 6527585 
19/12/2021,, ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 7, ARTIGAS, ARTIGAS, 1, 551540, 6634225 
2/10/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, SÁBADO, 8, SORIANO, SIN DATOS, 1, 462440, 6323005 
6/10/2021,, TIMOTEO APARICIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, FLORIDA, FLORIDA, 1, 571165, 6226650 
3/12/2021,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, SALTO, SALTO, 1, 408175, 6526780 
23/11/2021,, VIA_PUBLICA, DESPISTE, SIN LESIONADOS, MARTES, 7, ARTIGAS, ARTIGAS, 1, 551590, 6636960 
31/12/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 22, FLORIDA, SARANDI GRANDE, 1, 561430, 6269315 
18/11/2021,, CAMINO REPETTO ESQ. AVENIDA JOSE BELLONI, ATROPELLO DE PEATÓN, FATAL, JUEVES, 14, MONTEVIDEO, MONTEVIDEO, 1, 578735, 6146930 
19/11/2021,, RUTA 1 KM 151.500, DESPISTE, FATAL, VIERNES, 16, COLONIA, SIN DATOS, 1, 446695, 6193955 
29/11/2021,, RUTA 104 KM 11.000, DESPISTE, FATAL, LUNES, 14, MALDONADO, SIN DATOS, 1, 697230, 6145515 
30/11/2021,, AVENIDA GENERAL EUGENIO GARZON ESQ. AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 571170, 6145025 
30/11/2021,, CNO. A LA CUCHILLA PEREIRA ESQ. CAMINO RUSSI, DESPISTE, FATAL, MARTES, 22, MONTEVIDEO, SIN DATOS, 1, 573120, 6153250 
1/12/2021,, RUTA 8 KM 26.000 , COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 17, CANELONES, BARROS BLANCOS, 1, 591435, 6153980 
7/10/2021,, RUTA 5 Y AVENIDA JOSE PEDRO VARELA, CAÍDA, LEVE, JUEVES, 11, FLORIDA, FLORIDA, 1, 572610, 6228185 
1/12/2021,, RUTA 81 KM 10.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 19, CANELONES, SIN DATOS, 1, 565495, 6190210 
1/12/2021,, RUTA INTERBALNEARIA KM 91.500, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 21, MALDONADO, SIN DATOS, 1, 656090, 6149050 
8/12/2021,, RUTA 14 KM 6.000, CAÍDA, FATAL, MIÉRCOLES, 21, SORIANO, SIN DATOS, 1, 411450, 6321665 
9/12/2021,, RUTA5 KM 249.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 14, TACUAREMBO, PASO DE LOS TOROS, 1, 546675, 6369015 
10/12/2021,, RUTA 39 frente a barrio Hipódromo, CAÍDA, FATAL, VIERNES, 13, MALDONADO, SIN DATOS, 1, 687655, 6140205 
10/12/2021,, RUTA 5 VIEJA KM 80.000, DESPISTE, FATAL, VIERNES, 18, FLORIDA, SIN DATOS, 1, 571890, 6212940 
11/12/2021,, HECTOR GUTIERREZ RUIZ frente a destacamento policial, ATROPELLO DE PEATÓN, FATAL, SÁBADO, 17, TACUAREMBO, BALNEARIO IPORA, 1, 598240, 6495775 
12/12/2021,, MANUEL D RODRIGUEZ esq. SAN SALVADOR, DESPISTE, FATAL, DOMINGO, 15, SAN JOSE, SAN JOSE DE MAYO, 1, 526875, 6201145 
12/12/2021,, AV. APARICIO SARAVIA Y FRANCISCA FAJARDO, DESPISTE, FATAL, DOMINGO, 18, MALDONADO, SAN RAFAEL - EL PLACER, 1, 694065, 6134410 
15/12/2021,, RUTA 5 KM.29.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 10, CANELONES, SIN DATOS, 1, 569555, 6163290 
20/12/2021,, AGUSTIN DE LA ROSA ESQ. COLON, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 0, CERRO LARGO, MELO, 1, 766215, 6415300 
20/12/2021,, RUTA 11 KM 45.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 7, SAN JOSE, SIN DATOS, 1, 523060, 6200355 
22/12/2021,, SIMON DEL PINO ESQ. DR. HECTOR BARRIOS, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 6, MALDONADO, PIRIAPOLIS, 1, 657330, 6141020 
22/12/2021,, Camino Lussich, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 17, MALDONADO, SIN DATOS, 1, 680555, 6137870 
22/12/2021,, BOULEVAR ARTIGAS esq.AYACUCHO, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 18, PAYSANDU, PAYSANDU, 1, 399270, 6424355 
23/12/2021,, DOCTOR VIDAL Y FUENTES esq. ALEJO ROSELL Y RIUS, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 8, MONTEVIDEO, MONTEVIDEO, 1, 577920, 6138160 
24/12/2021,, RUTA DE ACCESO esq.INGENIERO JUAN ALBERTO CAPURRO, DESPISTE, FATAL, VIERNES, 5, MONTEVIDEO, MONTEVIDEO, 1, 571610, 6140810 
29/12/2021,, RUTA INTERBALNEARIA KM 35.000, ATROPELLO DE PEATÓN, FATAL, MIÉRCOLES, 7, CANELONES, NEPTUNIA, 1, 602830, 6150675 
29/12/2021,, RUTA 1 KM 59.000, ATROPELLO DE PEATÓN, FATAL, MIÉRCOLES, 17, SAN JOSE, SIN DATOS, 1, 529190, 6171470 
31/12/2021,, Avenida aparicio Sarabia y Da vincci, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 0, MALDONADO, SAN RAFAEL - EL PLACER, 1, 693190, 6134355 
1/1/2022,, RUTA 7 KM 197.000, DESPISTE, FATAL, SÁBADO, 6, FLORIDA, SIN DATOS, 1, 666050, 6291030 
3/1/2022,, RUTA 1 KM 16.900 (esq. CAMINO MANUEL MARIA FLORES), DESPISTE, FATAL, LUNES, 20, MONTEVIDEO, SIN DATOS, 1, 560000, 6146765 
4/1/2022,, AV. COSTANERA Y CENTRAL, ATROPELLO DE PEATÓN, FATAL, MARTES, 19, CANELONES, LOMAS DE SOLYMAR, 1, 598795, 6146865 
5/1/2022,, RUTA 35 KM 59.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 9, CANELONES, SIN DATOS, 1, 619170, 6158770 
15/11/2021,, AVENIDA CENTENARIO DE FLORIDA, CAÍDA, GRAVE, LUNES, 0, FLORIDA, CAPILLA DEL SAUCE, 1, 627050, 6296010 
6/1/2022,, DIECINUEVE DE ABRIL ESQ. GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 21, COLONIA, CARMELO, 1, 381600, 6238175 
