Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
10/8/2015, DOCTOR EDYE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MALDONADO, MALDONADO, 1, 686495, 6135530 
11/5/2015, AVENIDA ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, PAYSANDU, PAYSANDU, 1, 398745, 6423810 
20/4/2015, GENERAL JUAN ANTONIO LAVALLEJA, CAÍDA, LEVE, LUNES, 18, CERRO LARGO, MELO, 1, 765895, 6414320 
27/7/2015, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, SORIANO, MERCEDES, 1, 403835, 6320425 
13/7/2015, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 9, TACUAREMBO, TACUAREMBO, 1, 596700, 6491000 
23/11/2015, APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, RIVERA, RIVERA, 1, 636735, 6581480 
7/9/2015, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, FLORIDA, FLORIDA, 1, 572005, 6226440 
13/4/2015, RUTA SESENTA Y TRES, CAÍDA, GRAVE, LUNES, 8, CANELONES, SANTA LUCIA, 1, 556980, 6189125 
20/7/2015, JACINTO MARIA ALVARIZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MALDONADO, SAN CARLOS, 1, 690240, 6148625 
8/6/2015, CAMINO PASO DE LA ESPAÑOLA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 580230, 6148740 
8/6/2015, SEGARRA FRANCO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 21, TACUAREMBO, TACUAREMBO, 1, 597230, 6488855 
23/11/2015, AVENIDA PEREZ BUTLER, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 9, CANELONES, EL PINAR, 1, 597525, 6148840 
16/11/2015, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 19, FLORIDA, SARANDI GRANDE, 1, 561490, 6267640 
24/8/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, RIVERA, RIVERA, 1, 638370, 6581205 
5/10/2015, DIONISIO ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, TREINTA Y TRES, TREINTA Y TRES, 1, 743115, 6319780 
17/8/2015, DOCTOR SILVESTRE PEREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578975, 6140790 
27/4/2015, CRISTOBAL COLON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, SORIANO, MERCEDES, 1, 404035, 6320465 
20/4/2015, CAMINO TOMAS BERRETA, ATROPELLO DE PEATÓN, LEVE, LUNES, 9, CANELONES, SIN DATOS, 1, 569185, 6157585 
27/4/2015, AVENIDA APARICIO SARAVIA Y DEL CERRO, CAÍDA, LEVE, LUNES, 17, SORIANO, MERCEDES, 1, 403270, 6319545 
6/4/2015, F. MATA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, CERRO LARGO, MELO, 1, 766805, 6415025 
26/10/2015, INCA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 575115, 6138960 
10/8/2015, BERNADET SOSA, DESPISTE, LEVE, LUNES, 3, DURAZNO, SARANDI DEL YI, 1, 627360, 6309800 
7/9/2015, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 22, CANELONES, SIN DATOS, 1, 571045, 6154700 
29/6/2015, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, RIVERA, RIVERA, 1, 639235, 6580285 
27/7/2015, CAMINO LA PALOMA, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 567370, 6141160 
2/11/2015, MANUEL LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, TREINTA Y TRES, TREINTA Y TRES, 1, 743975, 6320520 
6/4/2015, QUIRON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 582090, 6146390 
2/11/2015, AVENIDA JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 577820, 6141965 
19/10/2015, PAN DE AZUCAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 579315, 6140630 
29/6/2015, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 11, TREINTA Y TRES, TREINTA Y TRES, 1, 743760, 6319655 
7/12/2015, AVENIDA PUNTA DE RIELES, CAÍDA, GRAVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 582555, 6145655 
28/12/2015, RAMBLA ARMENIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 579940, 6137165 
13/7/2015, GENERAL APARICIO, CAÍDA, LEVE, LUNES, 18, MALDONADO, SAN RAFAEL - EL PLACER, 1, 692230, 6134175 
23/11/2015, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 577845, 6149310 
9/11/2015, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 575855, 6144865 
17/8/2015, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, TACUAREMBO, TACUAREMBO, 1, 595400, 6489775 
8/6/2015, AVENIDA INGENIERO LUIS GIANNATTASIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, CANELONES, SOLYMAR, 1, 595270, 6146225 
14/12/2015, HECTOR BARRIOS Y NIZA, CAÍDA, SIN LESIONADOS, LUNES, 12, MALDONADO, PIRIAPOLIS, 1, 657735, 6140975 
10/8/2015, PRESIDENTE PEDRO VIERA, ATROPELLO DE PEATÓN, GRAVE, LUNES, 18, RIVERA, RIVERA, 1, 637925, 6580500 
3/8/2015, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, SALTO, SALTO, 1, 408105, 6527190 
16/11/2015, TUBICHAS, ATROPELLO DE PEATÓN, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 577095, 6145750 
11/5/2015, TRES DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, MALDONADO, MALDONADO, 1, 686495, 6134735 
27/7/2015, AVENIDA LUIS BATLLE BERRES, ATROPELLO DE PEATÓN, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 566915, 6144750 
31/8/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MALDONADO, PUNTA DEL ESTE, 1, 688115, 6132905 
14/9/2015, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, COLONIA, CARMELO, 1, 381370, 6237495 
19/10/2015, AVENIDA GENERAL SAN MARTIN, CAÍDA, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 576080, 6145495 
28/9/2015, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, RIVERA, RIVERA, 1, 639610, 6580290 
14/9/2015, ANTONIO M. FERNANDEZ, ATROPELLO DE ANIMALES, GRAVE, LUNES, 14, FLORIDA, FLORIDA, 1, 573060, 6226115 
1/6/2015, DOCTOR FRANCISCO SOCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, SIN DATOS, 1, 570365, 6156685 
2/11/2015, MADRID, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, CANELONES, EL PINAR, 1, 597855, 6149315 
22/6/2015, PRESIDENTE LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, PAYSANDU, PAYSANDU, 1, 397555, 6424405 
6/4/2015, FRANCISCO ESPINOLA, CAÍDA, LEVE, LUNES, 23, SAN JOSE, SAN JOSE DE MAYO, 1, 525085, 6200780 
26/10/2015, MARTIN ETCHEGOYEN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 11, DURAZNO, DURAZNO, 1, 544200, 6305225 
7/9/2015, AVENIDA OCHO DE OCTUBRE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 577165, 6139510 
22/6/2015, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, TACUAREMBO, PASO DE LOS TOROS, 1, 544790, 6369600 
5/10/2015, AVENIDA GENERAL GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576385, 6139275 
29/6/2015, JAMAICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 0, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 558520, 6152565 
29/6/2015, FREIRE Y CERRITO , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MALDONADO, PIRIAPOLIS, 1, 658190, 6142395 
27/7/2015, AVENIDA DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 573260, 6137045 
22/6/2015, DOCTOR FLORENTINO FELIPPONE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, PAYSANDU, PAYSANDU, 1, 398985, 6424060 
